label,F3,F4,C3,Cz,C4,P3,P4,accX,accY,accZ
L,4.104877196536010,3.030392325943270,2.777140164479900,2.0244257286619600,4.585056800058800,2.49155330787663,-0.9283224302936720,1.875,775.25,-505.5625
L,-4.544857849626200,-4.290193730600520,-1.7422450517351300,-3.1730957507302400,-6.019741800157670,-3.2480467837118200,0.40790041158699200,5.9375,791.75,-485.125
L,2.002129286442360,2.464537354572430,-0.5052226094289560,2.728576671377320,3.5487950072572800,3.401472869554630,3.6315776262200300,15.0,807.4375,-459.875
N,-0.8447275118086780,-1.2814438138124400,0.2528012655493930,-1.0937506615478000,-1.3656204600220300,-3.019267728596390,-6.62618502753671,13.8125,777.875,-502.625
N,3.086985613787710,2.8581808835113900,0.7333386481403150,0.266320754428277,1.413458198648880,1.4990361479203000,5.388545144636840,14.3125,780.625,-497.8125
N,-3.5749737528568000,-3.5935998372125400,-1.3180166912849400,-0.9908099401761460,-2.273229662960160,-0.15670163271161200,-1.9557183791266800,7.4375,803.875,-467.25
N,2.080964433972410,2.5053346545383700,4.43725871020766,1.1180509173488100,0.7802550350462660,-0.24732008385903800,-0.7688335617856580,15.3125,797.875,-476.6875
N,-0.09252909516570000,-0.4291119023262950,-15.754776232836400,0.11649371220697400,1.068701094987150,0.47647360023999300,0.5580683855920470,10.1875,787.625,-488.25
N,-0.7069798044025620,-0.13030026361971200,18.261385578782700,0.9352309618033480,0.2499305196948730,0.5761657078204500,4.67881592120778,6.8125,782.875,-496.3125
R,1.6671080789653100,1.1497181567048700,-4.699882728402490,0.0521695837330999,0.3823305360399970,0.8962915215649310,-4.574335067812140,10.3125,782.625,-496.8125
R,-2.146251156356790,-2.5164179070176000,-2.6787399194313300,-2.977594001053380,-2.691877373421120,-1.713273535242760,0.17835990981990800,16.3125,787.4375,-489.6875
R,3.217211160519700,4.985954342253760,0.868556500618799,3.8045588221871000,4.210037831610150,-0.1739132542838690,0.10625032997448400,18.0,795.25,-479.625
R,-0.7657139734524670,-2.9917117012502200,1.9113577543585400,-0.7897779289726300,-2.5148175543191200,-0.6158877969152280,-1.211390133965060,11.3125,789.4375,-487.9375
R,-0.9102201560029,0.1890466119639420,-1.876948880510440,-1.4410726048593200,-0.9128855442185080,-0.31686176388032000,1.931869053123360,7.3125,785.5625,-492.6875
R,0.09073767602902290,-2.427253609292280,0.8468046006221370,-0.11972070351804200,2.6970006390497600,1.3732070358290300,-2.110184295616720,7.625,779.5625,-497.6875
R,0.7933251700980510,1.9711864958959900,1.259970710750960,1.9749236893702600,-4.123339566835710,0.8670115059166540,1.8438820583620100,14.375,772.0625,-505.0
R,-1.613908152792290,0.3111938556649490,-2.368535375570720,-1.373654131879930,4.705592397834440,-0.5088993245526720,2.0843923504484000,13.0,778.625,-499.25
R,0.001818503047631570,0.5627270945253650,1.7634877059027400,0.3814661722641640,-1.6888969950054600,0.08231124781531320,0.8956318660857680,14.9375,779.125,-497.625
R,1.403149951046090,-1.1596772104098900,0.5096937199178380,0.37799378068485200,-1.8035921865012700,0.6415040645634390,-3.2370998396047800,10.6875,780.125,-497.0625
N,-1.003078585825270,0.08209857633983710,-2.1724543207874200,-1.656771633415080,1.0495556930979100,-2.0694824722258900,-1.7543305132287800,23.25,779.25,-498.75
N,0.43908884046678300,1.2183776049139800,1.5392092929206500,1.76994699021197,0.4061442031406310,0.7238200944597830,2.2625244646366200,14.125,780.875,-496.5
N,-0.9645463868986840,-1.4991093336051700,-1.3484822084806300,-1.7130078623711100,0.506440425206152,0.2345496359067410,0.48977941159750500,12.75,782.625,-497.1875
N,1.1021451341864400,1.0620263044538600,1.5189258760989400,2.0077315169173100,-1.107994622945030,0.8123692250416610,-1.1675471985053300,11.9375,781.875,-495.0625
N,-0.21021217413046200,-0.46100907504050200,-1.1885963539021600,-0.9420487914758110,0.347291837336772,-0.6782091799944040,1.771454312185950,13.5625,780.4375,-496.3125
N,-0.5893446939138230,0.5906932251588240,-0.28207061195231300,0.1392600363658270,0.5004667762160180,0.09485625785150140,-3.0620368516293000,13.375,777.5625,-500.875
R,0.879022245084647,-1.068132981140080,0.936189480453339,-0.6840890235278420,-0.45877811686548100,-0.11775088753373800,1.0608534846294500,10.8125,783.625,-493.1875
R,-0.07575267222573730,0.7521478151456000,0.23429580664461500,1.6437358607260100,0.6777289702769980,-0.0034753853191596100,4.6707186045524100,7.8125,785.0,-491.9375
R,1.8743951053228800,1.3508883750031600,2.530079892510170,1.346848285482270,0.6379185927268710,2.101727354970230,-4.7281821107551200,-9.75,782.625,-495.8125
R,-18.686914444706300,-7.580710818091250,-16.020295628248900,-11.682416199401700,-6.332353367492870,-9.074286293047960,-3.636389756813090,9.9375,775.875,-504.5
R,25.054718098855700,6.883452275413740,18.075080966631300,10.205193162885000,6.502513876813250,6.945281269044460,4.50474094269791,25.0625,781.8125,-495.0
R,-8.809955659827960,-1.812441226295730,-6.052547788193290,-0.3782030869789560,-1.196147246323880,0.21119427661924500,-0.597600787183061,32.625,778.6875,-496.375
R,-3.5583589032396600,-2.3706336684211300,-1.707398715894930,-1.9258237693715600,-2.2474119514146100,-2.1760706923603300,-0.7722334270394660,15.9375,776.5,-500.9375
R,4.555840647355290,2.590453755147830,1.6197689847055400,0.1768418126027980,2.746443566497470,1.6163898725835900,1.5832845349997800,23.9375,781.0625,-494.8125
R,-2.8581218256764200,-1.5032955030116200,-1.3957658353829700,-0.596893450880603,-3.465020901370780,-0.9390922348654870,-3.641406541759330,28.125,779.625,-497.125
R,9.020963519678140,5.475468868035260,6.316124671525640,4.612637680466090,6.497544055370070,6.075545282129510,1.5039199497935500,16.75,789.875,-484.125
R,-9.018949374766290,-4.39434839760138,-4.96278165308004,-3.8558158898715200,-3.512794188791480,-5.663501495270440,1.839527744901260,16.3125,796.5,-479.0625
R,1.0887455519782500,-0.10117316188952600,0.7868095257074140,0.4748276841698480,-2.654299314071420,0.18379221512484500,-0.02286224140644910,22.5,800.4375,-468.1875
R,3.3713883894230300,3.3143261377415300,0.9156431597952260,0.7460934703439290,4.734293161290740,1.7997168186717800,0.16921619276466300,16.1875,786.0625,-492.125
R,-2.7064175409261700,-1.9389809085355900,0.7653963318858830,0.024746909674180600,-1.6834610937471400,-2.038897693649610,-2.0537397183954500,14.0625,789.0625,-487.4375
R,2.632477610972200,-0.7176664009171880,-1.8082918818428900,-0.1917904976428300,-1.7821098502576200,-0.1831641719378300,1.9407955100840200,13.8125,798.0,-476.375
N,-2.9956592743341300,1.2775828737844100,0.5684801075265020,0.07752727485817600,1.8519280996310400,0.38177507653198400,-1.2980142466002000,22.875,787.875,-487.5
N,-0.08206486795541240,-1.1566343180390000,0.353481056632749,-0.29954196269342900,0.10102468218354800,1.3675593812313400,1.0673983288388700,20.6875,775.5625,-501.5625
N,0.4486137581681900,-0.13555185097264300,-1.0193987120560900,-0.19890632325577200,-2.445494075552960,-1.0833579677076300,-0.3851118570926830,11.9375,775.4375,-502.875
N,3.3521570709856500,-0.008722705776109630,0.31522220407517100,0.15300393963185500,1.8314195947614300,0.4044537909652190,0.4165054372285680,14.6875,780.875,-497.9375
N,-6.813831880056390,-0.8987904333359390,-1.417858830997520,-1.3066489770470200,-0.8353827639739250,-0.511614183105215,-1.61025223472893,13.5,783.9375,-493.875
N,4.973593854726520,1.8942503948263900,1.457907283345620,1.8064644561278300,0.7921900060375570,-0.48726715467847900,3.2331395291205100,13.4375,785.125,-492.3125
N,-2.632925091553240,-2.299478159781550,-0.32736088655530700,-1.1058916104236400,-0.5981864529118080,1.1398989514353600,-2.5622758220147500,15.5,786.4375,-491.5
N,0.7262044670728240,0.298352232133906,-0.04167399226523330,-0.5587513177385730,-0.876842544202268,-0.769118701348681,-2.0521483245622900,15.25,785.0625,-492.625
N,1.7058584494534300,1.320091451296430,0.3109431376165190,0.7248797800450260,0.7258336082180050,0.08498216233014660,3.776936533950420,17.1875,787.3125,-490.125
R,-0.31638985740616200,-0.12568277894247600,-0.10354536654220900,0.9869558706614330,1.6726820893402500,1.1598454165015700,0.8304652322458910,17.75,786.875,-488.625
R,-0.0712070342442189,-0.0017272199505405300,0.07635308975537670,-2.2390242526494300,-2.2980096638795900,-0.427542882821381,-2.320347013883840,19.4375,786.375,-490.5
R,0.006855823678437110,1.3196033763323000,0.40706232161185000,2.6297591716974500,3.4336339395977300,-0.9331699368277780,-0.8778443256885120,27.4375,784.125,-492.75
R,3.0147507951943500,0.7351594012342890,2.077894826157660,1.0306573774539700,-0.9303760944017530,4.130192774087030,1.396475785695610,23.875,782.75,-494.1875
R,-6.182677797540070,-2.8279391072197300,-3.7711992427680400,-3.0252349280743900,-3.1689622056529300,-5.462497352628740,0.6141385400286910,20.25,777.125,-501.0
R,2.525428931258300,2.703550345357480,1.836995553859950,1.5602119236497400,4.712252054417920,1.8032920298027600,4.07996024574807,25.875,778.125,-498.125
R,-0.9445058414345800,-2.419563016579360,-1.1801375642123700,-0.2890127360043620,-4.930915786920190,1.4454738530098800,-6.504440615336840,30.8125,785.75,-490.5625
R,2.7151961889370900,1.210357606073540,1.9015147960811800,-0.8417532263952900,2.1779218124370400,-1.7523401703583700,2.0446131888257100,30.3125,781.625,-493.125
R,-1.9340822926977600,0.9365322285826390,-0.4167747561635070,1.7374529344329600,1.7958952923689200,1.575468077696060,3.167706230392680,25.6875,783.25,-493.0
R,-0.5809052550115940,-4.018596814634860,-3.3405690586119300,-3.3943450943561700,-5.80785871929237,-4.300288176991270,-7.48007988094296,27.3125,786.0,-490.25
N,1.9205607891368400,3.2477715162528600,4.8528101111110400,2.8492035508098400,5.168753276399280,4.933745366409270,5.0880865955737800,34.25,778.5625,-498.0
N,3.78620309918134,5.389487136646,1.0016552800615200,3.1116924282369000,3.839461936881770,0.19945377267041100,3.8632710458524400,36.8125,772.875,-504.5
N,-5.609889228304770,-6.9748157525074800,-4.0373105695875900,-4.533451197448900,-6.411410020800220,-3.450094674566230,-6.985087188533100,31.5625,776.75,-499.9375
N,-2.8565055671910000,-2.4739898801256200,-2.440003709070740,-2.190408431823810,-0.275972450552083,0.43985942095699500,4.176053916547730,26.6875,785.9375,-489.8125
N,1.4447494496963700,3.1601902966249,3.3191054089017900,3.077619112934640,1.0884559381473500,0.7791615884032750,-1.638661276547450,33.0,790.3125,-483.4375
N,5.371321441662720,5.0587075282828900,1.984527492719900,2.044589361831640,3.996916396359360,0.8791031117445740,2.310003535730880,31.4375,794.125,-480.625
N,-5.27938746645231,-6.029295623350460,-3.0209759273436700,-3.0711176117566900,-4.295218963463460,-1.2332828877088700,-4.677318454607090,33.125,788.6875,-486.3125
N,1.8357000398932300,0.5430515546952520,1.1023812813333400,0.16982808839344100,0.42649996171570800,1.3782753740521400,3.55217553953027,38.625,795.625,-479.0625
L,-2.0864834116447900,-1.258665198024960,-2.05291856818669,-0.8095953962611790,-0.9797734583121220,-1.7249614921536600,-1.9276628239007600,31.6875,786.625,-490.4375
L,1.705516546951270,2.5545105220427600,2.047254906685130,2.833445739801860,2.2554372206547100,0.34730396956962900,2.0589439889160600,28.8125,781.9375,-495.625
L,-0.09952108361244810,-1.493059518747650,-1.5714472483072300,-3.0770437925501700,-2.8858966819938800,0.6124470165428640,-5.700859290025370,22.3125,788.5625,-487.9375
L,3.541272107601040,3.098939585898520,2.98879313354288,4.144403438047560,4.249425246878710,0.9934965080333210,7.360502297240170,27.25,798.5,-473.25
L,-4.484389005283920,-2.7413715778986900,-0.6724612446089290,-2.450259581544900,-2.878508509473450,-0.16077985164858300,-2.622620032583800,4.0625,773.8125,-508.8125
L,2.388938212856300,0.5608037029583830,-2.28198782674672,-0.03487484353108700,0.489997759829173,-2.189154769508130,-3.7334228391774000,1.0625,773.25,-503.375
L,1.8080903108136500,1.5943471949128800,2.914990788590460,1.4103081624579100,1.573173910114240,2.807322417167250,5.872017720576970,13.8125,779.5625,-500.5625
L,-4.3368646422540100,-2.6189326492333500,-2.509650514129410,-1.5123233420717200,-2.797663818650590,-2.1621860657415600,-1.2806258745567600,19.8125,793.25,-482.6875
L,4.65973601767123,1.4220767834901800,1.9403618124795600,0.48581508669400900,2.2039215581293300,0.5274402027582130,-5.148828638105340,20.6875,791.0625,-484.625
L,-4.203833448548490,-1.094324697056810,-1.2642080271251900,-0.1519857802092640,-0.6197021520201740,-0.0684934842258649,3.0173874580763700,40.1875,789.5,-484.375
L,-0.5581817613679960,0.08757848293950760,-0.7719224720999420,-1.7608514533943300,-1.0206275603904100,-1.2525736883428900,2.0483309925779000,36.8125,798.1875,-474.6875
L,-0.8788417809218510,-2.1739679389788000,-1.4741543357177100,0.4195532500150610,-1.6773462415093500,-0.6096339350355440,-5.161691335885490,25.8125,802.75,-469.375
L,3.5663954981270700,4.3760245585173900,3.896439099955730,1.3251186501917500,4.095881222699690,4.543309459452360,6.934063102304200,26.1875,795.6875,-477.625
L,0.6886605420173420,-1.7141294793637800,-1.497429564361960,0.9298410415862620,-1.8509669860603300,-4.21323742191415,-6.891057719285710,44.375,804.3125,-468.5
L,-2.4685391586102200,-0.21246514241230100,-0.06198411650926540,-1.3097371604384500,-0.4868077561422630,1.8255904525532300,4.594664926266910,59.875,819.8125,-435.875
L,-1.2281920964793100,-1.0428918684950500,-1.8543671964039100,-1.8563536150865600,1.2979864570858000,-0.7528567710863430,0.44775051667691900,50.3125,824.25,-430.875
L,4.465963629435750,2.0390055950500400,2.718860597054360,3.0215693946273400,0.5862603046947900,1.3063381784522600,-2.466976458323430,28.375,809.25,-456.125
L,-3.7476535278043900,-1.5507483674284200,-0.9744503701532310,-2.1828684394289500,-2.0397089332600700,-1.8159431375213900,-0.07727753345947260,20.125,800.3125,-472.0625
L,2.5114242948529300,1.5283765235178900,2.27010225608226,2.838515135907770,2.0532968129258400,1.7214481054066800,2.6975078473713100,17.6875,807.4375,-463.0
L,-3.1608857888028300,-2.874412531478820,-5.549363103800270,-3.2743709553879300,-3.532335685134860,-1.8207808799101400,-4.95814492317577,17.4375,808.4375,-459.5625
R,1.0650576520070000,2.0359096119312800,3.6847310946074700,1.0826619936832400,2.187537710595780,0.9867960518160250,0.8527987770219540,10.9375,804.4375,-467.5625
R,0.29459543382423400,0.964729690229544,-0.3756842336743290,0.05189717019202370,0.6611158921482460,-1.0102804223714700,5.065107581305540,14.5,803.25,-471.625
R,-0.6290444469072890,-0.16198890755127900,0.32610681652868200,0.9555304644836390,0.955793785254842,2.72826789595622,-1.1111403787308800,21.5625,809.0,-454.5
R,1.0450156552186500,-1.0815950387469300,0.8829936732171580,0.21827575992343300,-2.0310108318111500,-0.2968782644021400,-1.388514847987470,20.25,818.9375,-444.125
R,1.167541404281770,1.0585848273014100,0.7666614042573340,0.902767840073412,2.519642241375090,-0.43528414662137200,-0.8832036563925080,21.375,813.625,-450.8125
R,-2.6282184954209600,-2.1894246222126400,-2.8251871925015100,-3.916593195350680,-3.3351442555035700,-1.3253632599148800,-1.0292766921256300,22.1875,807.375,-460.375
R,3.3921147479665000,3.036476593583180,1.9614963377668100,5.05312339022689,1.8504569969958500,2.7613597400205800,7.775152731664330,28.875,812.5625,-453.8125
R,-1.6628819869158000,-1.569530397281980,-0.3628648729864660,-3.392029466395590,-0.5337751965301870,-3.8793314309724700,-8.441851191874530,30.5,813.0625,-449.625
R,1.3694628569636500,1.3314214143975200,0.48430220274806900,2.210472771711060,0.9796073006967030,3.7088317260249400,6.480611983252710,30.4375,807.5,-464.3125
R,-3.101130911267980,-1.9224546231445600,-3.0090032336632500,-2.272397629301000,-1.0858087085994800,-4.382569312380110,-6.041851268784320,24.0,809.875,-456.1875
R,0.49070080591333300,-1.2605998266976100,2.7576594888208300,0.9208118542010670,-1.405226204902240,3.8545754217224700,2.482803511159120,19.75,822.5,-436.625
R,0.3873345358599510,1.621370793280770,-1.4249445382550700,-1.0333389660488400,1.7515399614799500,-1.0803923078555700,-0.5981113685298890,22.3125,811.3125,-456.1875
R,0.9305314661428690,-1.009612605029960,0.37032502583957700,1.356771657080380,-1.1294182572872300,0.6580442128197860,0.8028788949996420,28.75,799.9375,-474.375
R,-3.678885744092380,-1.0468777262846300,-1.8495650774821100,-2.8650840562243100,0.19116461492594900,-3.2706386951083300,-5.321667030489150,34.5,810.9375,-452.0625
R,1.7225584528377000,-0.24744815926204100,2.086985450070680,1.8968243681719300,-1.4798646342062600,2.4195227783761,6.701384736597420,29.375,817.375,-442.4375
R,1.6320374180479800,3.716968864151380,0.4350256309444800,1.3775455932817300,3.360349029853210,0.03318689185893020,-2.9824468923356200,43.9375,794.25,-479.8125
R,0.2708042290290540,-1.5703886295850200,0.4594095756518010,-0.28732805389104400,-0.5787613301308940,0.730846220215446,1.4034088893552000,33.5,799.4375,-472.5
R,1.7138709364085700,1.5129633859549800,-0.9192097101871560,-0.3821028209086060,-0.7960854179085760,-1.7177164323635100,-1.2830263726437600,20.0,816.375,-445.0
R,-1.6359278234426200,0.2854064570215710,1.364903360643710,1.7080799867431100,2.779350036259720,3.327197298839290,2.3162385532345600,31.4375,813.0625,-449.1875
N,-1.7987679395036600,-2.037431342337620,-3.2570495792348500,-3.4704780910040800,-3.8100749770934500,-3.5545685007337800,-0.5249461817138060,41.375,811.375,-459.5625
N,0.6347006990888410,-0.506981118448146,1.5729243126865600,0.8712999866334930,0.26802751176643200,0.40855460403157400,-1.458563001765660,30.6875,813.25,-450.0625
N,1.720063655547030,2.0401075196857200,0.9352757701646770,1.5438079816443900,1.4816746714779400,1.852935079994370,1.059628889806640,22.5,804.25,-467.6875
N,-0.9435808979661610,-1.3299760772194500,-0.5531326473770280,-0.9723359190379300,0.1903351273173930,-1.192465651702660,-0.8012024163505620,28.75,802.0,-469.375
N,1.4144802595733700,1.2129767279416300,0.929934214415941,1.00049992165967,-0.42468558720065800,0.4599598949767330,2.2244239327199800,28.8125,794.125,-480.9375
N,-3.172711080743530,-2.085990833663410,-1.3773870720488700,-1.1684926115034600,-0.8384209777129460,-0.4780658437104530,-2.5460122345117900,24.5625,791.875,-485.0
N,1.720000233249830,0.994356888815207,1.0401442399590600,0.15982890385703300,0.49481746630428700,1.2379182636172900,0.4106707557360310,31.25,792.1875,-485.375
N,2.7886287683204700,2.6986639807839100,0.7544813129069630,1.6644833989613300,1.439583539021850,-0.2182174588668910,0.2146088114533810,24.25,795.5625,-479.6875
N,-4.022248378120870,-3.021079131940100,-1.481709628072200,-2.1583635746186300,-2.183551777279670,-2.9934661941710600,1.0488204708182700,29.8125,796.375,-477.0
N,2.9809581366026400,1.4409339284176000,0.8611584242691170,1.6572498899305400,1.5491238165784900,3.7880352206841800,-1.9642307466755100,26.625,792.3125,-484.375
N,-3.457651455256180,-1.9993622132226500,-1.3568357185805700,-1.6736420420493100,-1.4270997753236000,-3.653961217408540,-1.9712312217799400,29.3125,788.625,-488.5
N,1.7252736018994600,1.6721892354728800,0.3833288924690520,1.2688472434021300,0.8717092228392080,2.6486397557508200,5.564093190896320,26.9375,789.875,-487.0
N,1.2853921607694700,-0.3225964629140290,2.0420310886985300,-0.21192926044470100,0.5644917573803760,-0.4353226552789310,-3.1071190474509500,29.5625,793.375,-483.0
N,-2.959342791111650,-1.48761528805313,-3.811452718860120,-1.7177611632897100,-3.176462791758730,-1.6082278399112600,-1.1372794604893000,28.25,788.5625,-488.0
N,1.9862958998710500,2.000128872036140,2.012860869489140,1.6175763383945900,3.724398498695650,1.388612535049860,2.8796306148804300,27.5,787.0625,-489.625
N,-2.288837236113250,-1.3958551540677800,-0.8917586888973970,-1.1238369197869400,-1.8763079876394800,-1.2376534425857900,-2.94402571370248,24.8125,790.0625,-486.4375
N,2.242215242086910,0.822261642150222,1.4757647442084300,1.6250078137133600,1.2189215254562300,0.6050122873430190,1.2468217834576800,28.6875,792.625,-482.8125
N,-0.4573493912351360,-0.649398181091319,-0.6653351711538080,-1.3394236027453700,-1.8224653073408100,-0.8107835468653180,1.111032633332660,27.875,785.6875,-490.4375
N,-1.1290103534484200,0.5629855883546720,-2.0183911508342300,-1.0565175067621300,0.48572357353918000,0.10619939437822600,-1.115451042971030,25.5625,782.6875,-494.625
N,1.2796787852826200,0.07564111940723300,3.1556971115958500,2.602669015083800,1.5227330003144400,1.3691097886105300,-0.16643763570927600,20.875,786.5625,-490.5625
N,-0.22434146787928400,-1.7592872309858000,-1.3450158731145400,-2.3231461476119100,-2.9421803074611500,-0.7398371243777270,0.15857968059381700,22.0625,790.25,-487.3125
N,-1.0509255914334800,1.3996069379586300,-0.6030379092497790,1.0617236909405300,2.443869200873020,0.4989409930377730,-0.26168828828640300,21.875,789.0625,-489.3125
N,1.724312003651160,0.04986013496581340,2.0162752840371000,0.5023873914839830,-0.24330957664217300,0.29466543738485700,-0.4682554656651270,21.3125,787.875,-487.5
N,-2.488830809195270,-0.6124271314627540,-2.8487125106328900,-0.741363489532153,-0.5806029519858630,-1.449850835411870,4.566378593405270,25.875,794.25,-482.4375
N,3.6821040205521600,1.8272504103546800,1.7480403679711200,1.0301246656957600,0.6973143967692980,1.278350860988440,-4.447509740908750,23.1875,796.25,-482.875
N,-1.9641734142800700,-3.1527476744737900,0.06473386493258850,-1.2215014248663800,-0.6473807925077550,0.9717278372506510,0.35438688710204500,25.4375,801.9375,-470.5
N,-1.6596254320309900,0.7001029315515330,-2.778228376755800,-0.8011005001321410,-0.8620861143389730,-0.8826450692690890,3.903729453421660,21.3125,794.875,-480.375
R,3.255664210885380,2.0123127784257600,3.161463090553900,2.8990726819154800,1.4517238723684500,-2.134839900896080,-6.336709820192040,27.5625,797.3125,-476.5
R,0.27947766686772500,3.3673286281997600,1.8118952536676700,0.3720315652190980,2.2492925282730500,3.9709411439311900,4.9511440038573000,24.125,799.8125,-472.3125
